用户名,性别,身份证号,登录地区,登录设备,消费额
rzou,女,41032719901106****,天津,iOS,9.9
lei59,女,65420119971202****,福建,iOS,0
tanxiuying,女,43040619961013****,安徽,Android,49.6
yongzhong,女,64042520010922****,上海,Android,19.8
lhe,女,63222420010922****,黑龙江,iOS,9.9
caojuan,男,13070619990331****,江苏,iOS,-
lei31,女,51010119960420****,浙江,Android,149.5
lhu,1,42280219970408****,云南,Android,-
gzou,女,35011120010717****,湖北,Android,-
tao33,女,33092120040221****,湖北,iOS,39.8
nliang,男,35020520000527****,重庆市,iOS,0
ayu,男,41020220030101****,上海市,iOS,79.8
ehan,男,32050619840509****,西藏,Android,0
jie24,女,36112819990719****,广东,Android,19.9
leiguo,女,32010319920611****,江西,iOS,268.4
gang17,男,34142319850608****,广东,iOS,-
nahu,女,21122320030210****,安徽,Android,19.8
yong31,0,32011119911124****,青海,iOS,0
xia26,女,46010719970510****,广东,iOS,0
chenqiang,女,51172420040312****,湖北,Android,0
jinna,女,33038119961221****,湖南,iOS,29.8
uzhao,1,34082220010125****,重庆,Android,0
jie82,女,54000019990625****,陕西,Android,0
hanwei,男,43010319960709****,湖北,Android,39.8
tmo,男,21138120011210****,河南,Android,159.4
zhangchao,0,51200119960828****,湖南,Android,-
wenyong,女,22020020000425****,陕西,Android,49.8
ezeng,女,34050319970820****,天津,iOS,298.3
mona,女,64042520020703****,广东,iOS,199
qyang,女,52232319881202****,吉林,Android,0
zhengqiang,女,23030420010410****,浙江,Android,0
chaozeng,女,54212919980615****,陕西,Android,29.7
jing94,男,14042819900606****,安徽,Android,0
whuang,男,36020019991023****,陕西,Android,19.9
wei15,女,63222120040326****,湖北,iOS,9.9
li17,女,13082720060415****,安徽,Android,0
yanjiang,男,22010119891008****,广东,iOS,348.2
juancheng,男,52272819990718****,河北,Android,0
xialuo,男,44122319800618****,北京,iOS,0
fujun,女,32102319870308****,四川,Android,0
wei19,0,51343320011114****,云南,iOS,0
juan10,男,23070719900324****,福建,Android,-
chan,男,21110119850701****,广东,Android,-
qzhao,女,42010619740329****,山东,iOS,19.9
juan92,男,45060220010518****,江苏,Android,9.9
yitao,男,22028419870113****,江西,Android,-
junfeng,男,62070219910324****,北京,Android,0
ping23,女,45040119990712****,四川,iOS,-
chengxiulan,女,41010319960426****,山东,iOS,79.5
moping,男,51343119890514****,浙江,Android,0
guona,0,45122819900614****,江苏,Android,49.8
xqiao,男,45080219950101****,广东,iOS,0
gangliao,女,34060319970228****,云南,Android,149.1
jie16,女,31010519890628****,安徽,iOS,-
yongsong,女,41122119760401****,上海市,iOS,-
jqiu,女,51010819970324****,山东,iOS,99.1
hzheng,男,15080120001013****,甘肃,iOS,49.6
chao32,男,63280219980520****,广东,iOS,-
ulai,男,61052719971004****,福建,iOS,-
fanggang,男,53060120060629****,北京市,iOS,0
xiulantao,女,65270119740710****,福建,Android,0
minqin,0,36042520060530****,上海,Android,0
ganghu,男,37078319860220****,湖北,iOS,19.9
yanpan,男,62010019880225****,山东,Android,-
yongwang,男,15030319991006****,云南,iOS,0
wenfang,男,15043020001005****,江西,Android,99.1
panjun,女,45103019961223****,浙江,iOS,99.4
ttang,男,41172619950513****,上海市,iOS,49.6
juan65,女,61100020010514****,福建,iOS,0
guiyinghou,女,41030220010821****,陕西,Android,149.5
yong86,男,44028220010622****,北京,Android,-
guiying93,女,62102520021205****,重庆市,iOS,29.7
leiyao,男,64010620001206****,湖北,Android,39.8
jieyu,男,37090219930217****,安徽,iOS,59.6
gaoli,男,31011319950630****,浙江,iOS,19.8
wxu,女,37040020010508****,陕西,iOS,29.7
moqiang,女,37040020001213****,河南,Android,49.6
weifang,0,15030020060720****,山西,Android,168
qjia,女,54242920010928****,陕西,Android,-
jing68,男,37131219990127****,陕西,iOS,109.4
xia13,男,51152319841026****,江苏,iOS,29.8
napeng,女,53010219960617****,上海市,iOS,-
kongtao,男,21011419940629****,安徽,Android,89.8
yantang,1,14088119971226****,安徽,Android,9.9
zlei,1,45138120060724****,广东,iOS,497.2
xuguiying,1,46903019750828****,浙江,iOS,0
xiulan94,男,23012820010510****,贵州,Android,228.9
jing05,女,37172220041231****,贵州,iOS,-
kangping,女,62090119960212****,上海,Android,9.9
xyang,女,51052220060911****,福建,Android,-
haoxiuying,女,51182420030621****,广东,Android,-
changwei,男,13070519980823****,贵州,Android,109.4
gongmin,男,45092420010910****,江苏,Android,0
longjun,女,14102419970804****,河南,Android,39.8
li62,女,32050320010115****,天津,Android,99.5
gang18,女,52262819960429****,江西,Android,9.9
minduan,女,41032720050307****,上海,Android,0
lguo,1,51190020000805****,河南,iOS,9.9
xiaoguiying,女,62090120000920****,广西,Android,0
huangchao,女,62112419891123****,山东,iOS,0
xia40,男,42030220040724****,广西,Android,0
iwen,女,32083020050925****,河南,Android,0
weiyi,男,43122219870712****,安徽,Android,0
xiaqiao,男,13112520060725****,黑龙江,Android,9.9
wei80,女,36090219990114****,浙江,iOS,-
wei35,男,41108219921113****,河南,Android,0
xiaqian,女,53032419990112****,河南,iOS,-
guiyingyu,男,37088319910331****,广东,Android,0
laiping,男,41138120041118****,陕西,Android,29.7
vren,女,53252420011004****,江苏,iOS,-
xiulan26,0,41082120031104****,四川,Android,19.9
lxiao,男,23071519950625****,山西,iOS,29.7
panlei,女,33020519960830****,陕西,Android,49.6
iwan,男,51342720050728****,重庆,iOS,119.5
panxiulan,男,65422319950724****,上海市,iOS,139.1
jshao,女,42030320000218****,河北,Android,-
qianping,男,51011520010106****,陕西,Android,79.7
xchang,女,34080319760429****,四川,Android,9.9
wenyan,女,14082119960406****,湖北,iOS,29.8
ejin,女,37070420000606****,山东,iOS,159.2
licao,女,51092219970414****,广东,Android,218.8
qdu,女,42090020000217****,重庆,iOS,29.8
pinggong,女,52263620040809****,四川,Android,29.7
kwei,男,65300020031118****,安徽,Android,0
cuixiulan,女,46903920000414****,山东,Android,-
tao17,女,53042519890402****,湖南,Android,0
guiyingmeng,女,54212419860402****,河南,Android,9.9
zengxiuying,男,50022419890227****,江苏,iOS,857.2
lujie,0,12022120020524****,江苏,iOS,9.9
yan93,女,14110219970123****,湖北,Android,9.9
hkong,0,23023019980509****,北京市,iOS,209
fangfang,男,37083219970801****,广东,iOS,139.4
tqian,男,44020519981117****,浙江,Android,0
suyong,男,53012519990728****,天津,Android,-
huangjuan,男,23102519980902****,天津,Android,188.9
lei03,男,36070219941122****,广东,iOS,0
ijin,女,43102220011002****,河南,iOS,-
chaotao,男,35080219990605****,山东,Android,0
fdong,女,64010420020507****,上海市,iOS,9.9
chaoyu,男,45012419921014****,陕西,Android,0
wuxia,男,65282519971008****,新疆,iOS,89.7
weihuang,男,43112519990605****,四川,Android,9.9
kfan,男,23052319960519****,浙江,iOS,0
ming40,0,44052319851205****,陕西,Android,0
xiasu,男,53292720010822****,山东,iOS,39.6
na09,男,15070220000530****,湖北,Android,0
dfan,女,23120220030107****,福建,iOS,39.7
dli,男,12010019920723****,江苏,Android,0
huangjie,男,21090319780430****,湖南,Android,119.3
houfang,女,61062220030317****,辽宁,iOS,89.8
gang91,女,34110219980605****,山东,iOS,99.4
jingdeng,0,34120119960113****,江苏,Android,29.7
li98,女,45022519970418****,重庆市,iOS,159
gangqian,女,65432220031005****,广东,iOS,19.9
hhao,男,21011419810116****,广东,iOS,79.3
zhongjing,男,41030520031203****,山西,Android,29.9
jing16,女,42082119861024****,安徽,Android,29.8
yang89,男,44528119741109****,西藏,Android,29.8
jinggao,女,65010219850720****,河南,Android,-
qiaojun,女,35052419900421****,江苏,Android,0
junding,0,15092919990406****,广东,iOS,99.5
xiuyingwei,0,61092219981109****,河南,iOS,119.3
pingyuan,男,54252320010627****,陕西,Android,0
qiuxiuying,女,62102220000102****,海南,Android,49.6
tao46,女,37021319930605****,山东,Android,159.3
xuexia,女,51090019980808****,宁夏,iOS,9.9
xiaona,女,13062519991120****,浙江,Android,119.3
guiyingcao,男,43132119960623****,浙江,Android,39.6
yanyong,女,23010920061224****,福建,Android,-
yan07,男,50022319980515****,河南,Android,49.7
xiulanlong,女,41022119960715****,黑龙江,Android,-
kzhou,女,42022219971122****,内蒙古,Android,19.8
qianghou,女,61082320001124****,广东,iOS,169.2
liqiu,0,53012120040529****,山东,Android,-
chaodai,女,62082619980810****,浙江,iOS,-
jiezhang,男,34130120000915****,浙江,iOS,39.7
jing96,女,43041220030301****,贵州,Android,9.9
lei74,0,45050319760930****,广东,Android,0
qianjuan,女,12010819980613****,吉林,Android,109.6
chengyang,女,14100119970831****,河南,iOS,109.4
xiuyingzheng,女,61092419961103****,河南,iOS,-
kpan,男,62290120020530****,陕西,Android,0
vwan,女,23011120010222****,浙江,iOS,49.8
fangcui,女,41152819890117****,重庆,iOS,79.3
edong,女,54242120020313****,黑龙江,Android,0
icheng,女,42082120020317****,河南,Android,318.4
wfeng,男,13010120010401****,山东,Android,9.9
jieliang,女,41010819930119****,江苏,iOS,-
lei12,女,41010619880913****,广东,iOS,0
tangguiying,女,13063519790819****,广东,iOS,198.9
ping93,女,62102119980322****,辽宁,Android,59.7
owan,女,13050220021012****,广东,iOS,0
guoyan,女,22020419860611****,江苏,iOS,-
ozhong,男,52040020000818****,黑龙江,Android,209
jinjie,男,23100020000329****,陕西,Android,39.8
hmeng,男,41112219981101****,广东,iOS,19.8
juan88,男,52012320030405****,福建,Android,0
dkang,男,15078220011122****,四川,Android,-
jie62,1,61070020020416****,广东,iOS,79.4
minyang,男,65282419960421****,江苏,Android,9.9
xia89,女,21011419860326****,河南,Android,169.2
yeyang,女,14083020000907****,四川,Android,0
huangxiuying,女,23030419980904****,江苏,iOS,0
na43,男,37090319960801****,浙江,iOS,159
lei17,男,23070119881018****,河北,iOS,29.8
min08,女,45022220040412****,山西,Android,-
zyang,女,45040319990829****,江西,Android,69.8
qiaolei,0,61011519991130****,河北,Android,119.5
ihou,女,23270219920627****,浙江,iOS,79.5
tao83,0,54260019980927****,山东,Android,0
haona,女,32030419971026****,山东,Android,109.2
suming,0,33022519801125****,吉林,iOS,0
dingguiying,女,42011620001205****,江苏,iOS,0
leiyuan,男,44142119970326****,浙江,iOS,-
min66,男,23070419830405****,浙江,iOS,-
xhuang,男,35042720000710****,江苏,Android,0
ping34,女,23062220060505****,新疆,Android,157.2
ktian,1,14060019960112****,江苏,iOS,0
caogang,男,62072519991129****,北京市,iOS,149.2
yongqin,女,44010420060630****,广东,iOS,0
xiulan85,女,52242319880327****,江苏,Android,109.5
fang58,男,13020019980429****,四川,iOS,0
hsu,男,51078120060211****,河北,iOS,9.9
juan20,女,23090219990305****,山东,Android,-
xiuying55,女,44200119970309****,江苏,iOS,-
xiuying91,女,23022519970521****,福建,Android,0
leichang,女,36098120050327****,江西,iOS,0
qwang,男,46010619990223****,重庆,Android,39.8
songyong,男,53292419810512****,甘肃,Android,0
tao82,女,51192220010923****,湖北,iOS,0
changming,女,44088320061227****,陕西,iOS,0
juanyang,男,43112919861030****,湖南,Android,0
shaoxia,女,44060720030820****,四川,Android,9.9
yinping,0,12010219890109****,浙江,iOS,727.5
minggao,女,11000019970824****,广东,iOS,-
fanglin,1,31010419890109****,浙江,Android,0
zengxiulan,男,22010119980305****,湖南,iOS,169
qiang80,女,14052419901223****,重庆,Android,0
liuxiuying,女,52040020011219****,广东,Android,0
na75,女,13018119950416****,陕西,iOS,29.7
longyang,男,43070120060710****,重庆,Android,19.9
yongwen,男,52242619741221****,湖南,Android,89.3
yanliao,男,50011219950207****,北京市,iOS,149.3
guiying89,女,15080219930928****,浙江,iOS,49.7
mengyong,女,32010319940718****,云南,Android,0
kkong,女,45103119970208****,江西,iOS,99.3
nagao,女,15022319980408****,江苏,iOS,0
panqiang,男,43012220061206****,陕西,Android,-
yanlai,男,41142519970920****,云南,Android,0
mhan,女,41160019870107****,陕西,iOS,9.9
zhongming,1,51062320001016****,四川,iOS,-
lei86,女,33048219991119****,吉林,iOS,0
gaoqiang,女,45072219960530****,黑龙江,Android,29.7
na79,女,13092619940117****,安徽,Android,-
juan78,女,43110020011204****,浙江,iOS,0
yongwu,女,53062919940611****,安徽,iOS,179
zhengli,女,64032319981121****,浙江,iOS,19.8
fangmeng,男,33021119971016****,广东,iOS,0
taosu,男,44142219940727****,四川,iOS,169.3
juanwang,男,52262219950728****,福建,Android,-
junkang,女,22020320001128****,广东,Android,119.2
xiulan71,男,21122319920209****,江苏,iOS,29.8
sjia,男,45012719980525****,湖北,Android,0
qsu,女,41072119880220****,天津,iOS,-
huchao,女,36012419820916****,江苏,iOS,0
qcao,女,41102319990106****,上海,iOS,0
ymao,男,32020520030217****,江苏,Android,159.4
fpan,男,51322819930122****,浙江,Android,638.4
hqiao,男,41042319770124****,福建,Android,817.6
sunjie,女,36113019940512****,辽宁,Android,0
chaolai,女,45132119990411****,重庆市,iOS,0
qiang68,女,23030319960424****,四川,Android,0
cyi,女,35050120000127****,安徽,Android,0
juantao,女,23052419921211****,上海,iOS,9.9
yangjuan,女,36012219970206****,广西,Android,0
fangxia,0,62110019980410****,甘肃,Android,0
najiang,男,21010420031102****,山东,Android,99.4
jie46,0,46903819970709****,河北,Android,119.3
owu,男,23040020010806****,湖北,Android,0
mzhu,女,13042519960530****,山东,Android,109.4
ijiang,女,35068120051204****,安徽,iOS,0
fangpan,0,15092519910127****,山西,Android,9.9
fanxiuying,男,14113019970212****,吉林,Android,0
jiema,女,36092319961212****,四川,iOS,0
zchen,女,43020220041213****,安徽,Android,109.2
guming,女,33022519930601****,山东,Android,-
ping35,女,41030020051214****,江苏,Android,0
jing63,女,35080120010807****,山东,Android,-
gongqiang,女,65313019991011****,广东,iOS,29.7
xiatao,男,65010620030711****,山东,Android,9.9
fangang,女,51010520060216****,黑龙江,Android,59.7
gongna,男,37162319991230****,广东,Android,9.9
gujun,女,62070220060908****,安徽,Android,-
gcai,男,42060720011109****,浙江,iOS,9.9
qianxia,0,44023220040625****,浙江,Android,0
yanding,女,23070119970412****,河北,Android,-
chengna,男,14012319890304****,上海市,iOS,49.6
yanhou,女,23018419851013****,江苏,Android,39.8
bhao,男,32128319890326****,湖北,Android,0
minwu,女,52020319950119****,浙江,iOS,-
wdu,男,43112419970123****,云南,iOS,59.6
huangyong,男,44152119970103****,广西,Android,119.3
qzhu,女,41122220020827****,陕西,iOS,69.8
ipeng,男,51018419770909****,广东,iOS,179
hguo,女,51080120001119****,江苏,iOS,-
qiang29,女,61042319900221****,山西,Android,-
dyan,男,61060019981007****,安徽,iOS,198.8
weixia,男,35088119990801****,天津,Android,119.4
qwei,1,15022219980612****,江苏,iOS,29.7
xiulanliao,女,22240119930414****,浙江,iOS,0
ming03,女,43081120000606****,四川,iOS,9.9
mingong,男,23102420030730****,天津,iOS,368.2
yina,1,41050019980104****,湖北,Android,368
wanggang,女,32120319980720****,四川,iOS,0
guiyingzeng,女,36098119921216****,河南,Android,0
xiaowei,1,21010619950602****,河南,Android,-
xuewei,男,43312619980402****,重庆,iOS,-
xiaojing,女,62292119960314****,山西,Android,138.7
yan02,男,42030319880603****,安徽,Android,9.9
zengna,女,13030419961026****,重庆市,Android,-
byang,0,51111320000730****,江苏,Android,348.4
fang64,女,41162519770505****,广东,Android,19.9
fengyong,1,32118319961109****,重庆,iOS,0
juan14,女,51040319990410****,陕西,iOS,9.9
jing74,男,22240619980128****,江苏,iOS,-
zouwei,女,53232819950529****,河南,Android,0
xia98,男,35012120031213****,内蒙古,iOS,0
min41,0,61011219950717****,浙江,Android,9.9
naqiu,女,51343420030330****,江西,iOS,-
linping,男,45103119970818****,浙江,Android,9.9
xiuyinglai,男,34020319851004****,江苏,Android,0
tanxiulan,男,37030219901104****,湖南,iOS,0
fsong,女,35010420000510****,浙江,iOS,-
gang42,女,53032420061107****,江苏,iOS,-
fanyang,女,45092319781113****,上海市,iOS,-
weisun,女,51333219761107****,河北,Android,39.8
pingduan,0,33108119970219****,湖北,iOS,19.9
junshao,男,62012119981229****,浙江,iOS,-
jiayan,女,15010419781017****,辽宁,Android,9.9
jiebai,女,34032220010408****,浙江,iOS,-
bkong,1,32020319900217****,上海,iOS,936.4
fanghao,女,21101119970802****,陕西,Android,19.8
qiangkong,女,61058119940528****,上海,iOS,-
etian,女,44162119980215****,江西,Android,0
ping06,1,33110120031115****,吉林,Android,298.4
weichang,男,51041119970206****,江苏,iOS,89.7
junliao,男,15082319981110****,江苏,Android,129.5
caijie,女,31023019940401****,广东,iOS,29.8
zengyang,女,51160219850909****,河南,Android,-
li03,女,23270319871104****,上海,Android,906.6
gluo,1,51070419981229****,广东,Android,0
yongluo,女,32110119980413****,辽宁,Android,-
huming,女,15050119840329****,江苏,iOS,89.8
caoxiuying,女,13042119910313****,甘肃,Android,208.7
mingmo,男,23078119970101****,山西,iOS,0
zhaoming,男,37068119880710****,山东,Android,119.5
tianqiang,女,43072519900430****,山东,Android,9.9
na60,女,52032119770531****,广东,iOS,9.9
majuan,男,32083119961109****,湖南,Android,79.5
xia45,男,64040020050415****,辽宁,iOS,0
xyuan,男,36112319971223****,山东,iOS,49.6
liqin,女,34030319960502****,河北,Android,89.7
fang44,女,35050519981120****,云南,iOS,39.6
zhouli,男,54242520001107****,北京,iOS,-
xiangchao,女,35030020010106****,广东,iOS,0
ipan,男,15290019980513****,吉林,Android,39.6
hcao,男,44148119900626****,山东,Android,29.9
rmao,女,45122920051014****,山西,Android,0
qiumin,男,41010419981022****,河北,Android,-
whao,1,13102319880824****,山东,iOS,-
zhengwei,男,15060020010505****,福建,Android,0
qiantao,男,61082220010508****,江苏,iOS,89.6
rxue,男,43102820000110****,江西,Android,0
gang48,0,53052419860119****,江苏,iOS,109.6
xiulansun,女,45050019991215****,江苏,iOS,9.9
chao78,男,13102820010326****,浙江,Android,49.6
hantao,1,53092119971110****,贵州,Android,19.9
hwang,0,64018120010419****,山西,Android,0
yangzhu,男,41018319980702****,浙江,iOS,188.8
wei01,男,44512220040218****,山东,Android,0
yongjiang,女,43012220000406****,上海,iOS,19.9
guxiuying,女,35010420000417****,贵州,Android,0
gongjie,男,53332519880814****,湖南,iOS,19.9
xiulandeng,男,44090219850722****,陕西,Android,0
guiyingzhao,女,45100119850812****,贵州,Android,79.4
mingjia,女,21142219960728****,天津,Android,19.8
gonggang,0,13028119960916****,湖南,Android,99.3
taotan,男,44522419961129****,浙江,iOS,29.9
ping87,女,61062819960308****,云南,Android,-
hwan,女,53232220000620****,陕西,Android,49.6
ofu,女,43100319961120****,河北,Android,-
gangfan,0,21120019850220****,河南,Android,-
rxie,女,65232419980917****,吉林,Android,79.8
iyang,女,42068219970706****,上海市,iOS,29.8
fanghuang,男,13042919960101****,陕西,Android,208.8
minzhao,女,62122519951030****,山东,Android,626.4
xia21,女,43122220050203****,天津,iOS,0
jie86,男,13098320000523****,重庆市,iOS,0
vqian,男,42032519920717****,浙江,Android,0
shimin,男,51018319990725****,浙江,Android,0
zengming,女,51040020020525****,安徽,Android,119.5
cuifang,女,31011919850203****,江苏,iOS,79.8
libai,男,52012219990906****,重庆,iOS,198.8
xgong,女,45030520030519****,江西,iOS,89.6
jiangguiying,女,33082220051218****,上海,iOS,99.7
wangxia,男,45142419870228****,江苏,Android,-
gang69,男,13052620000217****,浙江,Android,0
qinmin,女,35052119921015****,江苏,iOS,278.5
bgu,女,52230020040615****,辽宁,iOS,-
span,女,45080119850603****,上海市,iOS,119.3
vxiang,男,15082119990429****,湖南,Android,9.9
zouxiulan,女,63000019940306****,山东,iOS,0
lei18,男,51322219981221****,江苏,Android,139.4
guiying95,女,23128319991005****,山东,Android,-
li53,男,62062119920204****,山西,iOS,-
qianli,女,65420220000816****,河北,Android,9.9
gding,0,65020120010602****,山东,Android,0
jing61,女,41160120061228****,四川,iOS,69.5
na71,男,32108820030928****,安徽,Android,-
pingmeng,女,37142720011024****,贵州,iOS,0
liuxiulan,女,32128419940312****,江苏,Android,19.8
caili,男,41152520050904****,海南,iOS,9.9
konglei,女,14113019971229****,黑龙江,Android,0
bliang,男,37011319990403****,山东,iOS,0
gyin,女,42102319901018****,广东,Android,89.7
leidong,女,37110120000218****,湖南,Android,-
jiamin,女,23270019880405****,江苏,Android,109.4
weihou,女,22028320021019****,天津,iOS,179
huangyang,女,52232720000128****,山东,Android,19.9
bhuang,男,54223219940728****,浙江,iOS,9.9
cuiyang,男,15062119901111****,广东,iOS,79.7
lliu,男,43312419880615****,四川,iOS,139.1
fangsun,女,37040420050412****,广西,Android,119.2
lixue,女,51000019991015****,山东,Android,0
fuyang,0,51322719990824****,湖北,iOS,89.6
ucai,女,43068220000517****,浙江,Android,-
wei18,0,13100119861129****,广东,iOS,49.6
jing35,女,13010220030129****,安徽,Android,188.9
27546,女,13013320020626****,北京市,iOS,-
chao15,女,62052519960612****,上海,iOS,0
fmo,男,52230019960229****,河南,Android,9.9
ygu,女,41050220011107****,四川,iOS,29.9
ecui,男,44011320051031****,上海市,iOS,79.8
weimin,男,23030120021007****,四川,iOS,-
wugang,女,51140019981127****,吉林,Android,49.7
guiyingzhu,女,51018419981222****,山东,Android,39.8
li52,女,22050319881027****,四川,iOS,-
shiqiang,女,13102419880423****,上海市,iOS,0
jingbai,男,51018120000321****,四川,iOS,29.7
caijun,女,33010819940720****,河南,Android,-
gdeng,0,37142720050303****,山东,Android,9.9
qiangwen,女,61092720001123****,吉林,Android,99.3
cuili,女,53292819991004****,贵州,iOS,9.9
panwei,女,36102219800115****,四川,iOS,9.9
thao,男,34020819740702****,广东,iOS,0
xiasong,0,22018119980906****,四川,iOS,0
ghe,男,21042119860217****,广东,iOS,-
tanyong,女,61092620010725****,云南,Android,139.1
jiangmin,女,33112619980217****,北京,Android,19.9
pmo,男,21110019870625****,上海,iOS,0
dingxiulan,男,51180219980705****,湖北,Android,79.4
dengjuan,1,44098119841221****,北京,iOS,0
minfu,男,52020320000125****,山西,Android,9.9
wanqiang,女,14052119960827****,四川,iOS,49.7
yandong,女,13018419980511****,江苏,iOS,0
hugang,0,23100219980506****,广东,iOS,0
luojun,男,33011019860810****,重庆,iOS,-
zxia,女,43072120000618****,广东,iOS,0
hhou,女,53342320010724****,江苏,Android,0
chao03,女,41132619990619****,浙江,Android,0
jundai,女,45122819980108****,浙江,iOS,109.4
lei96,女,13050219941220****,江苏,Android,89.3
guiyingzhou,女,36080320000504****,辽宁,iOS,-
xiulanhe,女,41050220000107****,吉林,Android,39.8
xia15,女,23022319980621****,湖南,Android,139.4
ping33,男,21070320001218****,四川,Android,9.9
jdu,女,43090119960414****,贵州,Android,79.8
gcui,0,34050320011007****,安徽,iOS,0
ping22,男,61042819870501****,广东,iOS,159.3
xiulanren,女,44162119980327****,山东,iOS,-
rxiang,男,42282820040206****,广西,Android,-
panli,女,32012519980604****,湖北,Android,-
xiuying82,女,43050120061108****,云南,Android,0
jqin,0,46903419990130****,安徽,Android,19.9
linjuan,男,33030419960516****,江西,iOS,0
li67,女,37020020050314****,安徽,Android,-
yinfang,0,13070519981206****,广西,iOS,199.3
changgang,0,53042619860209****,湖北,iOS,9.9
taoxie,女,14082520010129****,贵州,Android,29.8
kangyan,女,52240019961211****,河南,Android,0
lcai,女,45010720011119****,天津,Android,-
nawang,男,22242619920428****,安徽,iOS,19.8
sunming,女,14112519980925****,四川,iOS,29.7
liuwei,女,54012319801030****,安徽,iOS,69.5
vyuan,男,14062419940806****,广东,iOS,0
chao68,女,34050119971201****,广东,iOS,9.9
weiwang,女,44010519970728****,江西,iOS,0
jiaxiulan,男,23082620000629****,北京市,iOS,-
vqiu,男,13092319980129****,云南,Android,49.6
xiuying26,男,14032220010313****,福建,iOS,49.6
jing51,女,14050020030623****,广东,iOS,0
linna,男,41170119780623****,上海,Android,-
qiufang,女,52030319960630****,山西,Android,89.6
yanghou,男,35072119980910****,吉林,Android,59.6
pcheng,男,64050020040720****,江苏,iOS,-
fqiu,男,23010320000422****,北京,Android,-
yangtan,男,21142119870310****,四川,Android,89.7
jing86,男,51160219860627****,重庆,iOS,19.9
linyan,男,65422420011025****,江西,iOS,89.5
zlong,女,63272319861030****,浙江,iOS,79.3
yangxiong,男,34040319981022****,江苏,iOS,0
huangli,男,37052319960219****,安徽,Android,0
jinggong,女,54223119991016****,河南,iOS,89.7
xujun,男,42110219990113****,吉林,Android,9.9
lluo,女,41060219941028****,四川,Android,149.2
jgong,女,23108419911109****,黑龙江,Android,0
xia57,女,51011319850203****,吉林,Android,0
tao56,男,14103319880809****,安徽,Android,9.9
fangchen,男,62040119990815****,陕西,Android,39.8
rchen,男,14042519920715****,黑龙江,Android,-
pinglong,女,14102919970628****,浙江,Android,-
jing72,女,36072219990712****,上海市,Android,49.7
pingxiong,男,45072220000516****,湖南,Android,79.3
gongming,男,14010119931022****,重庆市,Android,-
dshen,女,33020420001125****,四川,Android,0
juan31,女,50011620030420****,陕西,Android,99.7
wanjuan,男,23100219930724****,云南,iOS,49.6
tfang,女,42060220020722****,湖北,Android,49.7
dfu,1,45068120051128****,云南,Android,0
weilong,女,65232520011114****,山东,iOS,-
sfeng,女,13028319960707****,四川,Android,29.7
fhou,女,51152219810308****,北京,iOS,0
huangna,女,44050719980204****,广东,iOS,208.8
jingwan,女,43040819970424****,广东,iOS,-
chaolong,男,51081119960317****,湖南,Android,9.9
chao20,女,21070219960228****,江西,Android,9.9
lzhao,男,34030319960410****,广东,iOS,49.8
qiaoyong,0,43102719850213****,山东,iOS,-
shixia,男,52240020000126****,广西,Android,-
chaolin,女,33042420020613****,江苏,iOS,39.8
duanyang,女,12010419971002****,陕西,iOS,9.9
nashao,男,53252719970826****,湖南,Android,29.8
guiying10,女,23012720020329****,重庆,Android,0
xiuyingsun,女,54010219990911****,山东,iOS,99.1
chao83,女,32060219990915****,山西,Android,0
jieqian,女,37050120001007****,福建,Android,0
hfan,女,13028320040228****,四川,Android,0
rwei,0,61052619910115****,黑龙江,Android,0
ppeng,女,37080219880428****,山东,Android,29.7
hzou,女,36010020021106****,江苏,iOS,89.3
tao89,男,65302420001108****,河南,iOS,-
naxue,1,61030419980110****,云南,Android,159.4
liuqiang,男,13010120020430****,山东,Android,0
qiangtan,男,45122720010617****,上海,Android,149.5
ayin,女,41172319910405****,山西,iOS,0
sqian,男,51012420010218****,广东,iOS,0
xiulan40,女,23108419970606****,河南,Android,59.7
iliao,男,32110119960203****,湖南,Android,39.8
jiewu,女,13072919960516****,江苏,Android,-
yiwei,女,33100219990314****,河南,iOS,747.8
na81,男,65230020000813****,浙江,iOS,9.9
npan,男,23062419750203****,上海市,iOS,228.9
na15,男,43051119880814****,山东,Android,0
yanyang,女,51172220021030****,福建,iOS,89.7
qlin,女,61092719790817****,吉林,iOS,149.2
umo,女,37052319970325****,山东,iOS,188.9
taochao,男,62292520000523****,江苏,iOS,0
xiulan13,男,11010219850709****,辽宁,Android,-
luoyang,女,52262919780320****,吉林,iOS,119.4
lizhou,女,13020520030823****,青海,Android,49.8
junxiao,女,53282319890803****,广东,Android,159.2
vhuang,男,44140019970418****,湖北,Android,159.2
guiying37,男,62110119861114****,湖南,Android,149.2
iliang,1,41062120010821****,广东,iOS,0
cpan,女,22072319910911****,海南,iOS,9.9
djin,女,62062319960818****,福建,iOS,19.9
guiying58,女,53262519980326****,河北,iOS,9.9
hanming,男,36082120020623****,河南,Android,0
molei,男,15042219970703****,福建,iOS,169.3
imao,男,32110219991224****,黑龙江,Android,0
juan04,男,36102619890912****,广东,iOS,49.6
guiyingfang,女,45122820031124****,浙江,iOS,0
ywu,女,42058319980607****,重庆市,iOS,9.9
pengli,女,23022719790221****,湖北,iOS,39.8
guqiang,女,43112219990503****,北京,iOS,-
junshi,女,41048219960903****,重庆,Android,0
gangkong,女,13032420030603****,上海,iOS,89.5
nahou,男,35018119970816****,山东,Android,-
jing70,男,35012319980516****,湖南,iOS,49.8
